clipDocId,title,vendor,houzzId,sku,source,beforeRoom,afterRoom,beforeCategory,beforeClientPrice,afterClientPrice,action,reason
OiZaNLsWwOx1lSgdTnsW,"David 24"" Art Light",Visual Comfort,,TOB 2023HAB/BZ,houzz-import,Game room,Game room,,$1618.38,1618.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
P8DaFyTh17tje63V09FS,Denim Black drum Pendant,Elu,,,houzz-import,Craft Room,Craft Room,,,,review-empty-category,review-empty-category
PURaU4exYSj5bsh6VKbk,"Maverick Coastal 52"" Ceiling Fan",Visual Comfort,,MGMR52MBKMBK,houzz-import,Workout,Workout,,$701.12,701.12,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
PxnguaIoZjOqBR7AC2vS,Ondrian 2 Light Sconce,Hubbardton Forge,,,houzz-import,Powder 3,Powder 3,,$1711.60,1711.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
PyuVsbSyy97pm8YEJJeI,Barranca Ocean,Mark Alexander,,,houzz-import,Kitchen,Kitchen,,,,review-empty-category,review-empty-category
QHMil7hgTxU7o5EDLmIr,MARMARIS | INDOOR,Martyn Lawrence Bullard,,,houzz-import,Guest 2,Guest 2,,,,review-empty-category,review-empty-category
QJDziR1yxuMrU9xNc1gd,Mason Outdoor Sconce,Hubbardton Forge,,Base Item #303003,houzz-import,Powder 1,Powder 1,,$2503.60,2503.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
QV0hnuTuKfguasbgDfOR,Imbrie Articulating Sconce,Rejuvination,,,houzz-import,Guest 4,Guest 4,,$1247.50,1247.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
QocDOAWGwhUXLtv4AZvH,Broomfield Large Hanging Shade,Visual Comfort,,RL 5162PN-L,houzz-import,Guest 3,Guest 3,,$3249.19,3249.19,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
R2WSS9rt3AkEa6FbLeOY,Solid Mottle,Legracieux ,,,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
R3bbzsBa3d9LaxcALkIx,NEVA Ottoman,SixPenny,,,houzz-import,Game room,Game room,,$999.00,999,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
RJeWrKD4OBgT1YC3G8kd,Riley Medium Ring Chandelier,Visual Comfort,,,houzz-import,Guest 3,Guest 3,,$3655.44,3655.44,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
RMrgewfUaPzXy6mJfxjw,LE1053 Silesia,Hartmann & Forbes,,,houzz-import,Windows,Windows,,,,review-empty-category,review-empty-category
RQqLrOOhzGnF7prwXiF1,Architect's Swing Arm,Visual Comfort,,PT 2000BZ-S,houzz-import,Guest 4,Guest 4,,$1132.38,1132.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
RT8L4Iag33TshIbg9uZj,LE1160 Sapi,Hartmann & Forbes,,,houzz-import,Windows,Windows,,,,review-empty-category,review-empty-category
RXwePmjJ4azcHOwGYPYX,"Massive Vintage Oak Farm Table, Custom Made by Petersen Antiques",1st Dibs,,,houzz-import,Dining Room,Dining Room,,$16000.00,16000,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Rl3kNfg7jw0polM66xJb,LARAMIE STEM PENDANT LIGHT,Barn Electric,,,houzz-import,Mudroom,Mudroom,,$2085.60,2085.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Sk9mxcXqfWzE38Kb0Ra7,Cody Large Hanging Shade,Visual Comfort,,,houzz-import,MBR & Bath,MBR & Bath,,$2842.94,2842.94,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Sks8FBZaMKELbQvMOOA6,Kent Strié ,no vendor,,21301595,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
SvPqCZ4kRLWkx19Hl9be,LE1050 Sendal,Hartmann & Forbes,,,houzz-import,Windows,Windows,,,,review-empty-category,review-empty-category
T9mr0HHNPcXc3fZv3bSw,Bikkia,McLaurin & Piercy,,NO. MP79,houzz-import,Guest 2,Guest 2,,,,review-empty-category,review-empty-category
UiWdrMKWa3SaJHFrbmC3,LE1109 Selatan,Hartmann & Forbes,,,houzz-import,Windows,Windows,,,,review-empty-category,review-empty-category
VK8ROmMxrS3FnVGXoVqy,Echo Sconce,Hubbardton Forge,,Base Item #204320,houzz-import,Consessions,Consessions,,$2171.40,2171.4,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Vo4kXf7bRJihwacuSkJn,NEVA Chair,SixPenny,,,houzz-import,Game room,Game room,,,,review-empty-category,review-empty-category
VpGfNxclyqAgsORsYKeo,Reed Double Sconce,Visual Comfort,,TOB 2126HAB-L,houzz-import,MBR & Bath,MBR & Bath,,$1132.38,1132.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
W6hUkb4a7KWOfuGZpMfI,Dash Mineral,McLaurin & Piercy,,,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
WcEgFx6Higp7VgEMA38E,Leather strapped drum chandelier,Elu,,,houzz-import,Game room,Game room,,,,review-empty-category,review-empty-category
WmU0NMSGTyuTtH5zCGW3,LE1703 Wrafton,Hartmann & Forbes,,,houzz-import,Windows,Windows,,,,review-empty-category,review-empty-category
XJZTOs0sSFZXlDb3lroO,SPJ-MSL-2BK-12,SPJ Lighting Inc.,,,houzz-import,Exterior,Exterior,,,,review-empty-category,review-empty-category
XflR4dXliXWAkVqSN34f,Barrett,Visual Comfort,,,houzz-import,Guest 4,Guest 4,,$1460.88,1460.88,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
XhBdtfvtnsjUMwtvjVto,"Barrett 24"" Picture Light",Visual Comfort,,RL2724,houzz-import,MBR & Bath,MBR & Bath,,$2981.74,2981.74,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
YETIvsOBNSNsA8428sgO,Alaster Articulating Wall Light,Visual Comfort,,RL 2170PN/BKE,houzz-import,office,office,,$4546.75,4546.75,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
YzogFug1I5onRc85eTYX,New Town Large Sconce,Hubbardton Forge,,,houzz-import,Bar,Bar,,$2895.20,2895.2,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Z48o0DnHyUQlKnJqOpZW,Dorchester Double Backplate Swimg Arm,Circa Lighting ,,CHD5102,houzz-import,Guest 4,Guest 4,,$1618.38,1618.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Z7ALHse3D1NyDbncotbu,Linear Lantern Chandelier,Elu,,,houzz-import,MBR & Bath,MBR & Bath,,$7397.50,7397.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Zt1g82xHyFpvFAiQJZCc,Naomi Volcano,Stroheim,,,houzz-import,Guest 3,Guest 3,,$109.35,109.35,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
a-customizable-swing-arm-sconce-featurin,"A customizable swing-arm sconce featuring our Grain Drum 14""",,,,houzz-import,,,,,,review-empty-category,review-empty-category
aZ58wylL72bTUHKoWtbx,ERDDIG DOUBLE ARM,Urban Electric,,,houzz-import,Hall,Hall,,$8329.50,8329.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
alouette-chandelier,Alouette Chandelier,,,,houzz-import,,,,,,review-empty-category,review-empty-category
antasia-double-glass-1-light-sconce,Antasia Double Glass 1 Light Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
aperture-sconce,Aperture Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
appliance-plumbing-santori-requests,Appliance /Plumbing Santori requests,,,,houzz-import,,,,,,review-empty-category,review-empty-category
available-in-natural-brass-rl-5162nb-l-visual-comfort,Available in Natural Brass RL 5162NB-L,Visual Comfort,,RL 5162PN-L,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
bNoGfpEVjsiNfQZgwpYp,Kennebunkport Cocktail Table,Somerset Bay,,SB056,houzz-import,Guest 4,Guest 4,,$1844.78,1844.78,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
bTe7zlJYzpF64v48Qe1U,Manhattan,Concretti,,,houzz-import,Powder 1,Powder 1,,$579.99,579.99,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
bc0LoSxuNyGjTzwDEKoH,Midewin,McLaurin & Piercy,,,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
belfair-large-double-sconce,Belfair Large Double Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
black-forest-ebony-somerset-bay,"Black Forest, Ebony",Somerset Bay,,SB012,houzz-import,Guest 2,Guest 2,,,,review-empty-category,review-empty-category
black-forest-or-ebony-somerset-bay,Black Forest or Ebony,Somerset Bay,,SB056,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
block-leg-coffee-table-made-from-reclaim,Block Leg Coffee Table made from Reclaimed Pine,,,,houzz-import,,,,,,review-empty-category,review-empty-category
bouy-glass-pendant,Bouy Glass Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
bouy-parchment-pendant,Bouy Parchment Pendant,,,,houzz-import,,,,,,review-empty-category,review-empty-category
bryant-sconce,Bryant Sconce,,,,houzz-import,,,,,,review-empty-category,review-empty-category
bulb-qty-1-regina-andrews,Bulb Qty: 1,Regina Andrews,,Item: 16-1219WT,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
bx72QE0oXBU8PaYg5T20,F&T - Napaoli vintage,Libeco,,,houzz-import,Guest 3,Guest 3,,$93.42,93.42,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
